0,0,23,0
1,0,20,0.004
2,0,20,0.008
3,0,20,0.012
4,0,21,0.016
5,1,21,0.02
6,1,21,0.024
7,1,22,0.027999999
8,1,22,0.032
9,1,22,0.036000002
10,2,23,0.04
11,2,23,0.044
12,2,23,0.048
13,2,23,0.052
14,2,24,0.055999998
15,3,24,0.06
16,3,24,0.064
17,3,25,0.068
18,3,25,0.072000004
19,3,25,0.076
20,4,26,0.08
21,4,26,0.08400001
22,4,26,0.088
23,4,26,0.092
24,4,27,0.096
25,5,27,0.1
26,5,27,0.104
27,5,28,0.108
28,5,28,0.111999996
29,5,28,0.116000004
30,6,29,0.12
31,6,29,0.124000005
32,6,29,0.128
33,6,29,0.132
34,6,30,0.136
35,7,30,0.14
36,7,30,0.14400001
37,7,31,0.148
38,7,31,0.152
39,7,31,0.156
40,8,32,0.16
41,8,32,0.16399999
42,8,32,0.16800001
43,8,32,0.172
44,8,33,0.176
45,9,33,0.18
46,9,33,0.184
47,9,34,0.18800001
48,9,34,0.192
49,9,34,0.19600001
50,10,35,0.2
51,10,35,0.204
52,10,35,0.208
53,10,35,0.21200001
54,10,36,0.216
55,11,36,0.22
56,11,36,0.22399999
57,11,37,0.22800002
58,11,37,0.23200001
59,11,37,0.236
60,12,38,0.24
61,12,38,0.244
62,12,38,0.24800001
63,12,38,0.252
64,12,39,0.256
65,13,39,0.26
66,13,39,0.264
67,13,40,0.268
68,13,40,0.272
69,13,40,0.276
70,14,41,0.28
71,14,41,0.284
72,14,41,0.28800002
73,14,41,0.292
74,14,42,0.296
75,15,42,0.3
76,15,42,0.304
77,15,43,0.308
78,15,43,0.312
79,15,43,0.316
80,16,44,0.32
81,16,44,0.324
82,16,44,0.32799998
83,16,44,0.33200002
84,16,45,0.33600003
85,17,45,0.34
86,17,45,0.344
87,17,46,0.348
88,17,46,0.352
89,17,46,0.35600004
90,18,47,0.36
91,18,47,0.36400002
92,18,47,0.368
93,18,47,0.372
94,18,48,0.37600002
95,19,48,0.38
96,19,48,0.384
97,19,49,0.38799998
98,19,49,0.39200002
99,19,49,0.39600003
100,20,50,0.4
101,20,50,0.404
102,20,50,0.408
103,20,50,0.412
104,20,51,0.416
105,21,51,0.42
106,21,51,0.42400002
107,21,52,0.428
108,21,52,0.432
109,21,52,0.43600002
110,22,53,0.44
111,22,53,0.444
112,22,53,0.44799998
113,22,53,0.45200002
114,22,54,0.45600003
115,23,54,0.46
116,23,54,0.46400002
117,23,55,0.468
118,23,55,0.472
119,23,55,0.476
120,24,56,0.48
121,24,56,0.48400003
122,24,56,0.488
123,24,56,0.492
124,24,57,0.49600002
125,25,57,0.5
126,25,57,0.504
127,25,58,0.508
128,25,58,0.512
129,25,58,0.51600003
130,26,59,0.52
131,26,59,0.524
132,26,59,0.528
133,26,59,0.532
134,26,60,0.536
135,27,60,0.54
136,27,60,0.544
137,27,61,0.548
138,27,61,0.552
139,27,61,0.556
140,28,62,0.56
141,28,62,0.564
142,28,62,0.568
143,28,62,0.572
144,28,63,0.57600003
145,29,63,0.58
146,29,63,0.584
147,29,64,0.588
148,29,64,0.592
149,29,64,0.596
150,30,65,0.6
151,30,65,0.60400003
152,30,65,0.608
153,30,65,0.612
154,30,66,0.616
155,31,66,0.62
156,31,66,0.624
157,31,67,0.628
158,31,67,0.632
159,31,67,0.63600004
160,32,68,0.64
161,32,68,0.644
162,32,68,0.648
163,32,68,0.65200007
164,32,69,0.65599996
165,33,69,0.66
166,33,69,0.66400003
167,33,70,0.66800004
168,33,70,0.67200005
169,33,70,0.676
170,34,71,0.68
171,34,71,0.684
172,34,71,0.688
173,34,71,0.69200003
174,34,72,0.696
175,35,72,0.7
176,35,72,0.704
177,35,73,0.708
178,35,73,0.7120001
179,35,73,0.71599996
180,36,74,0.72
181,36,74,0.72400004
182,36,74,0.72800004
183,36,74,0.73200005
184,36,75,0.736
185,37,75,0.74
186,37,75,0.744
187,37,76,0.748
188,37,76,0.75200003
189,37,76,0.756
190,38,77,0.76
191,38,77,0.764
192,38,77,0.768
193,38,77,0.7720001
194,38,78,0.77599996
195,39,78,0.78
196,39,78,0.78400004
197,39,79,0.78800005
198,39,79,0.79200006
199,39,79,0.796
